,Keywords,title,year,
113,Computer-MediatedCommunication News OnlineCredibility SocialMedia System-GeneratedCues,A Social Network As Information: The Effect of System Generated Reports of Connectedness on Credibility on Twitter,2012,
114,Expertise UserProfiling Microblogs Twitter,It's Not in Their Tweets: Modeling Topical Expertise of Twitter Users,2012,
115,Esl Communication LanguageLearning Microblogging,Microblogging for Language Learning: Using Twitter to Train Communicative and Cultural Competence,2009,
117,IranianElection Twitter Cascades InformationPropagation SocialMedia,Information Resonance on Twitter: Watching Iran,2010,
118,InformationRights Reuse SocialMedia Survey Twitter,Social Media Ownership: Using Twitter As a Window Onto Current Attitudes and Beliefs,2011,
120,SocialNetwork Spam SpamFiltering Twitter,Spam Filtering in Twitter Using Sender-receiver Relationship,2011,
121,Micro-Blogging Ontology SentimentAnalysis Tweet Twitter,Ontology-based Sentiment Analysis of Twitter Posts,2013,
122,CrisisCoordination DisasterManagement SituationAwareness SocialMedia SystemArchitectures,Emergency Situation Awareness from Twitter for Crisis Management,2012,
125,Classification Real-Time SocialMedia TrendingTopics Twitter,Classifying Trending Topics: A Typology of Conversation Triggers on Twitter,2011,
127,Twitter SocialMedia SocialNetworkAnalysis SocialNetworkingPotential,Measuring Influence on Twitter,2011,
129,Credibility DataMining Microblogs SocialNetworking Trust,Modeling Topic Specific Credibility on Twitter,2012,
130,BreakingNews OpinionLeaders SocialMedia Twitter,Breaking News on Twitter,2012,
131,Computer-MediatedCommunication SocialMedia SocialNetworks,A Longitudinal Study of Follow Predictors on Twitter,2013,
133,SocialMedia SoftwareDevelopment Web2.0,"Towards Understanding Twitter Use in Software Engineering: Preliminary Findings, Ongoing Challenges and Future Questions",2011,
134,ComparativeUsageAnalysis Microblogging UserModeling,A Comparative Study of Users' Microblogging Behavior on Sina Weibo and Twitter,2012,
135,Computer-MediatedCommunication CrisisInformatics Disasters FieldMedicine Microblogging SocialMedia,Beacons of Hope in Decentralized Coordination: Learning from On-the-ground Medical Twitterers During the 2010 Haiti Earthquake,2012,
137,Twitter RecommendationSystem ProbabilisticModel CollaborativeFiltering Mapreduce,TWITOBI: A Recommendation System for Twitter Using Probabilistic Modeling,2011,
138,Dan2 FeatureEngineering MachineLearning Svm SentimentAnalysis Twitter Twitter-SpecificLexicon N-GramAnalysis,Twitter Brand Sentiment Analysis: A Hybrid System Using N-gram Analysis and Dynamic Artificial Neural Network,2013,
139,GraphAnalysis Large-ScaleDataCollection NetworkEvolution OnlineSocialNetworks UserBehavior,We Know Who You Followed Last Summer: Inferring Social Link Creation Times in Twitter,2011,
140,Dengue Twitter DataMining Spatio-TemporalDataMining Surveillance Web,Dengue Surveillance Based on a Computational Model of Spatio-temporal Locality of Twitter,2011,
141,Twitter CorpusCreation Reproducibility,On Building a Reusable Twitter Corpus,2012,
143,Crowdsourcing Lists TopicInference Twitter WhoIsWho,Inferring Who-is-who in the Twitter Social Network,2012,
144,PrivacyTwitterMulti-PartyComputation,Hummingbird: Privacy at the Time of Twitter,2012,
147,SocialNetworks Twitter TopicClassification,Twitter Trending Topic Classification,2011,
148,Analytics DataSummarization Twitter,A Framework for Summarizing and Analyzing Twitter Feeds,2012,
149,GraphAnalysis SocialMedia,Information Network or Social Network?: The Structure of the Twitter Follow Graph,2014,
150,TextAnalysis LexicalNormalization Microblog ShortTextMessage TextPreprocessing,Lexical Normalization for Social Media Text,2013,
151,Hashtag RecommendationSystems Twitter,On Recommending Hashtags in Twitter Networks,2012,
152,Events SocialMedia Twitter UserClassification,Unfolding the Event Landscape on Twitter: Classification and Exploration of User Categories,2012,
153,DistributedSystem FocusedCrawling Micro-Blogging OpenSource SocialNetworkAnalysis Twitter,TwitterEcho: A Distributed Focused Crawler to Support Open Research with Twitter Data,2012,
