337,"collaborative filtering, online ranking, twitter",What is Happening Right Now ... That Interests Me?: Online Topic Discovery and Recommendation in Twitter,2012,1
340,"emergency detection, natural language processing, social network analysis",Detection and Extracting of Emergency Knowledge from Twitter Streams,2012,1
345,"Twitter, Wikipedia, social networks, user interest",Interest Classification of Twitter Users Using Wikipedia,2013,1
346,"labeled lda, lists, twitter, user interests",Inferring User Interests in the Twitter Social Network,2014,1
353,"geolocation, sentiment analysis, social media, twitter","Mirroring the Real World in Social Media: Twitter, Geolocation, and Sentiment Analysis",2013,1
356,"crf, fs-ner, named entity recognition, twitter",FS-NER: A Lightweight Filter-stream Approach to Named Entity Recognition on Twitter Data,2013,1
357,"cross-language, information diffusion, information discovery, micro-blogs, multilingual, social media, social network analysis",Global Connectivity and Multilinguals in the Twitter Network,2014,1
358,"clustering, topic model, twitter, unsupervised learning",Dynamic Multi-faceted Topic Discovery in Twitter,2013,1
368,"community startup, critical mass, natural language analysis, online communities, social networking sites, topical focus",Twitter and the Development of an Audience: Those Who Stay on Topic Thrive!,2012,1
370,"Information Systems, Keywords: E-Commerce, Knowledge Discovery, Sentiment Analysis, Topic Models, Virtual Communities",What is the Conversation About?: A Topic-Model-Based Approach for Analyzing Customer Sentiments in Twitter,2012,1
376,"e-Participation, machine learning, semantic analysis, semantic patterns, semantic search, social network analysis, trend analysis, twitter mining",Extracting Semantic Knowledge from Twitter,2011,1
380,"sentiment analysis, affective lexicon, Twitter",Twitter for Sentiment Analysis: When Language Resources Are Not Available,2011,1
383,"hadoop, machine learning, topic modeling, twitter",Detecting Offensive Tweets via Topical Feature Discovery over a Large Scale Twitter Corpus,2012,1
385,"anomaly detection, machine learning, spam detection, twitter",Detecting Social Spam Campaigns on Twitter,2012,1
392,"Box office, Twitter, forecasting, sentiment index, stock market",Forecasting with Twitter Data,2014,1
393,"computational linguistics, filtering, twitter",The Twitter Mute Button: A Web Filtering Challenge,2012,1
398,"portuguese language, sentiment analysis, twitter",Sentiment Analysis on Twitter Data for Portuguese Language,2012,1
400,"hashtags, semantics, social structure, twitter",Meaning As Collective Use: Predicting Semantic Hashtag Categories on Twitter,2013,1
403,"information discovery, knowledge discovery, linguistic analysis",Sentiment Analysis of Twitter Audiences: Measuring the Positive or Negative Influence of Popular Twitterers,2012,1
404,"hierarchical classification, sentiment and emotions classification, Twitter",Hierarchical Classification Approach to Emotion Recognition in Twitter,2012,1
410,"multilingualism, social media, sociolinguistics, topic modeling",Sociolinguistic Analysis of Twitter in Multilingual Societies,2014,1
411,"collaborative personalized search, language modeling, topic modeling, twitter",Collaborative Personalized Twitter Search with Topic-language Models,2014,1
